employee_id,employee_name,department,region,hire_date
1,Emp_1,Logistics,South,2020-01-01
2,Emp_2,Logistics,North,2020-01-08
3,Emp_3,Sales,West,2020-01-15
4,Emp_4,Support,South,2020-01-22
5,Emp_5,Logistics,North,2020-01-29
6,Emp_6,Logistics,South,2020-02-05
7,Emp_7,Sales,South,2020-02-12
8,Emp_8,Logistics,North,2020-02-19
9,Emp_9,Sales,West,2020-02-26
10,Emp_10,Support,West,2020-03-04
11,Emp_11,Sales,North,2020-03-11
12,Emp_12,Sales,West,2020-03-18
13,Emp_13,Sales,North,2020-03-25
14,Emp_14,Sales,North,2020-04-01
15,Emp_15,Support,North,2020-04-08
16,Emp_16,Support,West,2020-04-15
17,Emp_17,Logistics,North,2020-04-22
18,Emp_18,Support,South,2020-04-29
19,Emp_19,Support,West,2020-05-06
20,Emp_20,Logistics,West,2020-05-13
21,Emp_21,Support,West,2020-05-20
22,Emp_22,Sales,West,2020-05-27
23,Emp_23,Sales,South,2020-06-03
24,Emp_24,Logistics,West,2020-06-10
25,Emp_25,Logistics,West,2020-06-17
26,Emp_26,Logistics,North,2020-06-24
27,Emp_27,Sales,West,2020-07-01
28,Emp_28,Support,South,2020-07-08
29,Emp_29,Sales,South,2020-07-15
30,Emp_30,Logistics,South,2020-07-22
31,Emp_31,Support,South,2020-07-29
32,Emp_32,Support,West,2020-08-05
33,Emp_33,Sales,West,2020-08-12
34,Emp_34,Logistics,South,2020-08-19
35,Emp_35,Sales,South,2020-08-26
36,Emp_36,Support,West,2020-09-02
37,Emp_37,Sales,South,2020-09-09
38,Emp_38,Sales,North,2020-09-16
39,Emp_39,Logistics,South,2020-09-23
40,Emp_40,Logistics,South,2020-09-30
41,Emp_41,Support,North,2020-10-07
42,Emp_42,Sales,North,2020-10-14
43,Emp_43,Sales,West,2020-10-21
44,Emp_44,Sales,West,2020-10-28
45,Emp_45,Support,North,2020-11-04
46,Emp_46,Support,North,2020-11-11
47,Emp_47,Logistics,West,2020-11-18
48,Emp_48,Logistics,South,2020-11-25
49,Emp_49,Logistics,North,2020-12-02
50,Emp_50,Sales,West,2020-12-09
51,Emp_51,Sales,South,2020-12-16
52,Emp_52,Logistics,North,2020-12-23
53,Emp_53,Sales,South,2020-12-30
54,Emp_54,Logistics,West,2021-01-06
55,Emp_55,Support,North,2021-01-13
56,Emp_56,Logistics,South,2021-01-20
57,Emp_57,Support,North,2021-01-27
58,Emp_58,Sales,South,2021-02-03
59,Emp_59,Logistics,West,2021-02-10
60,Emp_60,Sales,West,2021-02-17
61,Emp_61,Support,North,2021-02-24
62,Emp_62,Support,South,2021-03-03
63,Emp_63,Support,North,2021-03-10
64,Emp_64,Sales,North,2021-03-17
65,Emp_65,Sales,South,2021-03-24
66,Emp_66,Sales,South,2021-03-31
67,Emp_67,Sales,South,2021-04-07
68,Emp_68,Support,West,2021-04-14
69,Emp_69,Support,North,2021-04-21
70,Emp_70,Logistics,North,2021-04-28
71,Emp_71,Logistics,West,2021-05-05
72,Emp_72,Sales,South,2021-05-12
73,Emp_73,Support,West,2021-05-19
74,Emp_74,Support,West,2021-05-26
75,Emp_75,Support,West,2021-06-02
76,Emp_76,Logistics,North,2021-06-09
77,Emp_77,Logistics,West,2021-06-16
78,Emp_78,Support,North,2021-06-23
79,Emp_79,Support,North,2021-06-30
80,Emp_80,Support,North,2021-07-07
81,Emp_81,Logistics,South,2021-07-14
82,Emp_82,Support,North,2021-07-21
83,Emp_83,Support,North,2021-07-28
84,Emp_84,Sales,South,2021-08-04
85,Emp_85,Sales,North,2021-08-11
86,Emp_86,Logistics,West,2021-08-18
87,Emp_87,Support,West,2021-08-25
88,Emp_88,Support,North,2021-09-01
89,Emp_89,Sales,South,2021-09-08
90,Emp_90,Logistics,West,2021-09-15
91,Emp_91,Sales,South,2021-09-22
92,Emp_92,Sales,South,2021-09-29
93,Emp_93,Sales,West,2021-10-06
94,Emp_94,Sales,South,2021-10-13
95,Emp_95,Support,West,2021-10-20
96,Emp_96,Support,South,2021-10-27
97,Emp_97,Sales,West,2021-11-03
98,Emp_98,Logistics,North,2021-11-10
99,Emp_99,Logistics,West,2021-11-17
100,Emp_100,Logistics,West,2021-11-24
